order_date,region,category,price,promo_flag,units_sold
2023-03-11,South,Electronics,72.85,0,47.6
2023-03-12,West,Grocery,17.74,0,61.3
2023-03-13,North,Electronics,14.14,0,75.9
2023-03-14,South,Apparel,91.35,1,84.0
2023-03-15,North,Home,38.69,0,60.2
2023-03-16,East,Apparel,107.27,0,47.3
2023-03-17,South,Home,92.64,0,38.5
2023-03-18,South,Apparel,85.29,0,38.2
2023-03-19,North,Grocery,37.04,0,44.9
2023-03-20,East,Electronics,86.53,0,66.2
2023-03-21,East,Home,114.04,1,82.9
2023-03-22,West,Grocery,15.53,0,61.0
2023-03-23,South,Home,42.51,0,42.8
2023-03-24,North,Apparel,31.99,1,50.1
2023-03-25,West,Electronics,50.22,0,43.8
2023-03-26,East,Home,90.37,0,55.1
2023-03-27,East,Home,59.54,1,87.3
2023-03-28,North,Grocery,70.63,1,96.9
2023-03-29,South,Grocery,41.13,0,62.5
2023-03-30,West,Apparel,21.25,0,50.8
2023-03-31,West,Home,35.7,0,33.4
2023-04-01,South,Grocery,103.86,0,35.1
2023-04-02,West,Apparel,74.28,0,64.0
2023-04-03,West,Grocery,48.47,0,60.8
2023-04-04,South,Apparel,95.84,0,63.0
2023-04-05,West,Apparel,12.41,1,75.7
2023-04-06,South,Grocery,34.2,0,47.7
2023-04-07,North,Apparel,31.46,0,34.8
2023-04-08,East,Home,118.32,0,41.3
2023-04-09,East,Home,86.2,1,85.1
2023-04-10,North,Grocery,76.05,0,61.8
2023-04-11,West,Grocery,5.57,0,61.3
2023-04-12,North,Grocery,26.2,0,67.2
2023-04-13,West,Electronics,78.09,0,51.5
2023-04-14,North,Grocery,48.67,0,36.8
2023-04-15,West,Home,111.29,0,34.0
2023-04-16,West,Home,92.94,0,50.8
2023-04-17,West,Home,56.45,0,66.7
2023-04-18,East,Grocery,91.19,1,87.3
2023-04-19,South,Grocery,117.17,0,55.7
2023-04-20,East,Home,58.01,0,48.4
2023-04-21,South,Electronics,78.89,0,44.9
2023-04-22,West,Apparel,110.65,0,29.5
2023-04-23,East,Home,33.6,0,61.8
2023-04-24,South,Grocery,106.95,0,60.3
2023-04-25,East,Grocery,16.22,0,72.3
2023-04-26,East,Grocery,79.57,1,78.2
2023-04-27,North,Grocery,95.03,0,55.8
2023-04-28,North,Grocery,75.68,0,44.5
2023-04-29,North,Home,61.99,0,29.9
2023-04-30,North,Apparel,75.99,1,78.7
2023-05-01,South,Home,22.44,0,68.6
2023-05-02,East,Home,29.79,0,69.5
2023-05-03,East,Home,36.04,1,83.5
2023-05-04,South,Grocery,73.74,1,69.7
2023-05-05,West,Electronics,55.82,0,45.2
2023-05-06,East,Home,33.11,0,43.2
2023-05-07,North,Grocery,106.52,0,45.2
2023-05-08,West,Grocery,48.0,1,86.5
2023-05-09,East,Apparel,56.29,0,73.5
2023-05-10,East,Home,52.12,0,56.4
2023-05-11,East,Home,25.92,0,53.8
2023-05-12,East,Home,89.14,0,47.4
2023-05-13,North,Grocery,56.57,0,45.6
2023-05-14,East,Home,6.87,0,38.3
2023-05-15,West,Home,115.86,0,60.8
2023-05-16,South,Apparel,98.81,1,106.3
2023-05-17,East,Home,88.21,1,73.9
2023-05-18,North,Home,104.95,0,38.4
2023-05-19,South,Electronics,109.28,0,49.7
2023-05-20,South,Grocery,43.81,0,45.3
2023-05-21,West,Electronics,75.26,0,63.6
2023-05-22,North,Grocery,75.01,0,70.4
2023-05-23,South,Grocery,35.74,1,98.0
2023-05-24,South,Grocery,30.52,0,65.8
2023-05-25,West,Apparel,18.1,0,54.9
2023-05-26,West,Apparel,80.82,1,71.8
2023-05-27,North,Apparel,94.81,0,51.4
2023-05-28,North,Apparel,92.51,0,47.9
2023-05-29,West,Apparel,41.37,0,71.8
2023-05-30,North,Apparel,28.6,0,78.9
2023-05-31,West,Grocery,57.17,0,71.2
2023-06-01,South,Home,67.88,0,48.5
2023-06-02,West,Electronics,110.7,1,75.4
2023-06-03,South,Grocery,105.6,0,51.5
2023-06-04,South,Home,110.35,0,73.1
2023-06-05,East,Apparel,102.78,0,65.0
2023-06-06,North,Grocery,115.93,0,69.4
2023-06-07,East,Grocery,58.53,0,62.5
2023-06-08,East,Grocery,10.46,0,48.5
2023-06-09,West,Electronics,14.61,0,38.0
2023-06-10,West,Grocery,49.88,0,29.7
2023-06-11,East,Apparel,34.63,1,75.8
2023-06-12,South,Apparel,24.54,0,72.0
2023-06-13,South,Home,114.62,0,69.8
2023-06-14,South,Apparel,27.47,0,76.3
2023-06-15,West,Apparel,115.33,1,76.8
2023-06-16,South,Apparel,92.5,0,51.4
2023-06-17,North,Grocery,78.71,0,48.2
2023-06-18,South,Grocery,82.74,0,63.4
2023-06-19,North,Apparel,43.12,0,71.9
2023-06-20,North,Grocery,79.34,0,81.3
2023-06-21,North,Grocery,26.47,0,65.4
2023-06-22,West,Grocery,112.84,0,55.1
2023-06-23,East,Home,39.71,0,46.2
2023-06-24,East,Electronics,34.35,1,74.9
2023-06-25,South,Apparel,86.78,0,61.2
2023-06-26,East,Electronics,80.49,0,83.9
2023-06-27,North,Grocery,56.9,0,71.9
2023-06-28,West,Electronics,77.73,0,67.9
2023-06-29,East,Grocery,23.34,0,60.0
2023-06-30,West,Home,82.43,0,51.2
2023-07-01,North,Grocery,36.12,1,59.3
2023-07-02,South,Electronics,36.38,1,64.2
2023-07-03,East,Home,23.65,1,88.0
2023-07-04,South,Apparel,43.22,1,74.2
2023-07-05,South,Electronics,43.09,1,93.9
2023-07-06,North,Apparel,57.23,0,53.8
2023-07-07,South,Home,26.9,0,50.7
2023-07-08,North,Electronics,27.2,0,42.3
2023-07-09,South,Apparel,67.3,0,50.1
2023-07-10,East,Home,19.82,0,72.8
2023-07-11,East,Apparel,84.22,1,89.5
2023-07-12,East,Electronics,113.55,0,63.2
2023-07-13,South,Grocery,54.08,0,53.6
2023-07-14,West,Grocery,108.63,0,61.7
2023-07-15,North,Home,16.31,0,53.0
2023-07-16,South,Apparel,9.94,0,66.1
2023-07-17,North,Electronics,87.96,1,103.6
2023-07-18,South,Electronics,92.52,0,83.4
2023-07-19,West,Apparel,101.95,0,65.3
2023-07-20,South,Apparel,11.53,0,41.2
2023-07-21,West,Apparel,94.34,0,44.3
2023-07-22,South,Electronics,48.3,0,53.2
2023-07-23,East,Apparel,39.88,0,54.3
2023-07-24,South,Electronics,24.9,0,70.9
2023-07-25,South,Home,119.54,0,70.7
2023-07-26,West,Grocery,12.32,1,102.8
2023-07-27,West,Grocery,100.11,0,58.3
2023-07-28,South,Electronics,78.54,1,60.7
2023-07-29,West,Apparel,89.53,0,52.5
2023-07-30,South,Apparel,86.85,0,60.3
2023-07-31,East,Electronics,103.72,1,95.8
2023-08-01,West,Home,26.14,0,68.1
2023-08-02,South,Electronics,5.09,0,54.0
2023-08-03,East,Grocery,73.83,0,55.1
2023-08-04,South,Grocery,45.69,0,48.1
2023-08-05,North,Home,19.24,0,56.3
2023-08-06,North,Grocery,26.41,1,89.1
2023-08-07,South,Home,43.15,1,109.6
2023-08-08,West,Electronics,13.08,0,69.6
2023-08-09,North,Grocery,11.55,0,65.4
2023-08-10,South,Electronics,110.34,0,57.4
2023-08-11,East,Apparel,40.89,0,61.7
2023-08-12,North,Electronics,117.96,0,58.3
2023-08-13,East,Home,115.9,1,80.3
2023-08-14,South,Apparel,21.4,1,85.4
2023-08-15,West,Electronics,87.22,0,70.6
2023-08-16,East,Apparel,74.09,0,72.6
2023-08-17,East,Home,84.42,0,48.3
2023-08-18,North,Electronics,16.06,0,45.4
2023-08-19,South,Grocery,26.68,0,49.1
2023-08-20,West,Electronics,13.81,0,71.1
2023-08-21,North,Home,74.48,0,71.2
2023-08-22,West,Grocery,118.46,0,61.6
2023-08-23,South,Home,82.28,1,94.8
2023-08-24,East,Apparel,86.74,0,51.0
2023-08-25,East,Apparel,118.23,1,61.2
2023-08-26,South,Electronics,82.97,0,49.6
2023-08-27,South,Home,9.62,0,60.3
2023-08-28,East,Grocery,104.71,0,78.4
2023-08-29,North,Electronics,46.94,0,67.4
2023-08-30,East,Electronics,5.5,0,65.5
2023-08-31,North,Electronics,63.33,0,59.7
2023-09-01,East,Electronics,112.76,1,66.6
2023-09-02,East,Grocery,34.59,0,40.8
2023-09-03,North,Grocery,61.52,0,66.3
2023-09-04,West,Grocery,24.98,0,80.8
2023-09-05,South,Apparel,11.63,0,76.7
2023-09-06,West,Electronics,14.26,0,57.1
2023-09-07,North,Apparel,88.61,0,60.2
2023-09-08,North,Apparel,104.37,1,63.7
2023-09-09,South,Apparel,21.48,1,70.3
2023-09-10,North,Apparel,38.16,0,57.3
2023-09-11,South,Apparel,27.43,0,67.4
2023-09-12,East,Apparel,8.09,0,74.7
2023-09-13,North,Apparel,68.64,1,93.6
2023-09-14,East,Apparel,85.49,0,52.4
2023-09-15,North,Electronics,79.51,0,51.8
2023-09-16,North,Grocery,49.63,0,48.5
2023-09-17,East,Home,68.83,0,68.8
2023-09-18,West,Electronics,15.82,0,76.4
2023-09-19,North,Apparel,22.74,0,73.5
2023-09-20,South,Grocery,112.16,0,64.4
2023-09-21,West,Electronics,92.57,0,46.8
2023-09-22,West,Apparel,111.11,1,70.2
2023-09-23,East,Apparel,110.42,0,49.4
2023-09-24,South,Apparel,79.68,0,49.1
2023-09-25,South,Electronics,111.75,0,71.9
2023-09-26,East,Home,52.92,1,83.2
2023-09-27,East,Apparel,5.42,0,79.4
2023-09-28,South,Home,12.2,0,46.8
2023-09-29,North,Apparel,17.59,0,40.3
2023-09-30,North,Apparel,15.97,0,58.5
2023-10-01,West,Home,45.45,0,71.8
2023-10-02,South,Grocery,85.65,0,71.0
2023-10-03,South,Home,95.92,0,74.6
2023-10-04,South,Home,72.87,1,101.7
2023-10-05,West,Apparel,21.84,0,43.4
2023-10-06,North,Apparel,91.01,0,38.1
2023-10-07,North,Apparel,45.8,0,50.5
2023-10-08,South,Electronics,6.49,0,73.3
2023-10-09,South,Home,37.27,0,73.2
2023-10-10,East,Grocery,43.02,0,79.3
2023-10-11,South,Electronics,36.54,1,106.6
2023-10-12,South,Apparel,98.37,0,70.3
2023-10-13,West,Home,92.39,0,46.2
2023-10-14,North,Electronics,84.99,0,52.5
2023-10-15,East,Electronics,20.99,1,95.9
2023-10-16,East,Grocery,97.9,0,67.0
2023-10-17,South,Grocery,82.88,0,85.2
2023-10-18,West,Grocery,27.41,1,87.7
2023-10-19,South,Grocery,79.53,0,58.7
2023-10-20,West,Home,60.6,1,76.3
2023-10-21,South,Home,55.53,0,47.2
2023-10-22,East,Home,17.89,0,58.8
2023-10-23,East,Grocery,64.6,0,78.1
2023-10-24,West,Grocery,16.49,1,98.2
2023-10-25,South,Electronics,23.89,0,70.6
2023-10-26,South,Apparel,20.24,0,58.8
2023-10-27,North,Electronics,114.72,0,53.8
2023-10-28,South,Electronics,37.76,0,47.4
2023-10-29,West,Grocery,45.85,0,69.5
2023-10-30,North,Apparel,42.04,0,81.7
2023-10-31,West,Electronics,108.3,1,107.2
2023-11-01,East,Grocery,69.74,0,69.5
2023-11-02,North,Apparel,110.7,0,56.0
2023-11-03,South,Home,39.49,0,55.3
2023-11-04,East,Grocery,18.21,0,58.5
2023-11-05,South,Electronics,68.97,0,62.2
2023-11-06,North,Home,44.74,0,74.8
2023-11-07,East,Apparel,97.22,0,83.4
2023-11-08,East,Home,106.13,0,67.1
2023-11-09,North,Electronics,59.35,0,56.6
2023-11-10,South,Electronics,116.71,0,51.6
2023-11-11,North,Apparel,68.6,0,59.9
2023-11-12,East,Grocery,36.16,0,62.1
2023-11-13,East,Grocery,61.23,0,66.5
2023-11-14,East,Apparel,9.29,0,69.0
2023-11-15,West,Apparel,97.46,1,81.8
2023-11-16,West,Grocery,16.67,0,51.6
2023-11-17,South,Apparel,40.51,0,50.4
2023-11-18,North,Electronics,70.01,0,47.2
2023-11-19,East,Apparel,9.94,0,61.9
2023-11-20,West,Home,14.12,0,73.2
2023-11-21,West,Grocery,85.05,0,78.2
2023-11-22,North,Home,13.25,0,80.7
2023-11-23,North,Electronics,59.86,1,80.4
2023-11-24,North,Home,43.95,0,51.8
2023-11-25,North,Electronics,31.23,0,51.9
2023-11-26,East,Electronics,26.71,0,63.9
2023-11-27,East,Home,92.79,1,105.5
2023-11-28,South,Apparel,114.43,0,84.7
2023-11-29,South,Grocery,21.12,0,67.7
2023-11-30,West,Apparel,115.36,0,60.4
2023-12-01,South,Home,73.4,0,39.9
2023-12-02,West,Electronics,78.79,1,72.2
2023-12-03,West,Home,86.64,0,71.4
2023-12-04,South,Apparel,85.97,0,76.9
2023-12-05,North,Electronics,99.28,0,92.4
2023-12-06,West,Grocery,60.6,0,68.2
2023-12-07,East,Apparel,66.34,1,84.0
2023-12-08,South,Grocery,42.24,0,52.2
2023-12-09,East,Home,17.1,0,54.8
2023-12-10,East,Apparel,81.43,1,90.3
2023-12-11,West,Electronics,8.87,1,103.1
2023-12-12,South,Grocery,36.7,0,87.0
2023-12-13,West,Apparel,15.84,0,82.1
2023-12-14,West,Grocery,26.93,0,60.8
2023-12-15,North,Electronics,78.45,0,57.7
2023-12-16,North,Home,77.27,0,51.5
2023-12-17,East,Home,53.42,0,72.1
2023-12-18,North,Home,15.37,1,93.5
2023-12-19,South,Home,54.84,1,113.6
2023-12-20,South,Apparel,45.57,1,102.2
2023-12-21,West,Grocery,87.85,1,87.1
2023-12-22,West,Home,71.59,0,40.0
2023-12-23,North,Home,61.53,0,52.8
2023-12-24,West,Home,61.0,0,75.2
2023-12-25,North,Apparel,116.12,0,82.9
2023-12-26,East,Grocery,91.97,0,84.1
2023-12-27,West,Apparel,62.15,0,80.6
2023-12-28,West,Electronics,60.11,0,64.4
2023-12-29,North,Home,8.05,0,60.8
2023-12-30,West,Electronics,113.39,0,61.9
2023-12-31,North,Electronics,41.71,0,77.3
2024-01-01,East,Grocery,34.43,0,82.1
2024-01-02,South,Home,119.93,0,88.4
2024-01-03,South,Home,87.65,1,92.6
2024-01-04,North,Grocery,10.45,1,86.7
2024-01-05,West,Electronics,12.12,0,64.1
2024-01-06,South,Electronics,7.93,0,58.1
2024-01-07,East,Electronics,73.96,0,73.4
2024-01-08,South,Home,13.23,0,81.1
2024-01-09,South,Grocery,112.34,1,93.4
2024-01-10,West,Electronics,112.74,0,75.3
2024-01-11,North,Grocery,67.8,0,70.9
2024-01-12,East,Grocery,75.91,0,57.5
2024-01-13,East,Home,38.57,0,46.9
2024-01-14,South,Home,12.36,1,93.0
2024-01-15,South,Grocery,89.81,0,91.4
2024-01-16,North,Apparel,16.71,0,82.3
2024-01-17,West,Grocery,14.84,0,64.8
2024-01-18,West,Grocery,40.79,0,74.0
2024-01-19,North,Electronics,6.43,1,87.4
2024-01-20,North,Grocery,54.91,1,70.4
2024-01-21,North,Electronics,86.38,0,67.0
2024-01-22,North,Home,97.16,0,87.5
2024-01-23,West,Apparel,74.5,0,80.7
2024-01-24,West,Apparel,102.39,0,82.8
2024-01-25,North,Electronics,51.75,1,91.4
2024-01-26,East,Grocery,102.61,0,56.3
2024-01-27,North,Grocery,63.24,0,58.7
2024-01-28,South,Electronics,30.65,1,88.6
2024-01-29,East,Grocery,113.58,0,87.7
2024-01-30,East,Home,36.62,0,79.1
2024-01-31,West,Home,8.01,0,66.5
2024-02-01,North,Home,32.91,0,67.0
2024-02-02,North,Apparel,47.17,0,59.0
2024-02-03,South,Apparel,45.41,0,61.1
2024-02-04,South,Apparel,65.34,1,87.7
2024-02-05,West,Electronics,106.56,1,101.5
2024-02-06,West,Apparel,38.62,0,89.4
2024-02-07,South,Home,64.89,0,76.3
2024-02-08,West,Home,44.12,0,60.7
2024-02-09,South,Apparel,99.5,1,76.5
2024-02-10,East,Grocery,23.12,0,70.6
2024-02-11,South,Apparel,16.9,0,59.9
2024-02-12,North,Electronics,62.84,0,85.1
2024-02-13,West,Apparel,82.27,0,74.9
2024-02-14,North,Apparel,96.49,0,76.3
2024-02-15,North,Home,72.81,0,61.4
2024-02-16,North,Electronics,93.99,0,43.4
2024-02-17,South,Home,50.16,1,90.9
2024-02-18,North,Home,8.78,1,98.1
2024-02-19,North,Electronics,18.35,0,69.8
2024-02-20,East,Electronics,9.45,0,90.4
2024-02-21,West,Apparel,42.83,0,85.9
2024-02-22,North,Home,61.98,1,89.7
2024-02-23,South,Apparel,45.98,0,58.4
2024-02-24,East,Home,69.47,1,80.7
2024-02-25,West,Electronics,60.27,0,79.0
2024-02-26,East,Apparel,82.96,1,115.6
2024-02-27,West,Electronics,81.7,0,92.5
2024-02-28,East,Home,41.58,0,72.0
2024-02-29,South,Electronics,44.81,0,65.9
2024-03-01,North,Apparel,72.29,0,59.3
2024-03-02,West,Grocery,73.59,0,48.7
2024-03-03,West,Home,41.19,0,74.2
2024-03-04,North,Electronics,42.99,0,96.8
2024-03-05,East,Electronics,84.82,0,89.9
2024-03-06,North,Apparel,79.45,0,86.8
2024-03-07,East,Electronics,20.53,0,66.1
2024-03-08,West,Home,55.72,1,77.6
2024-03-09,North,Apparel,107.66,0,62.2
2024-03-10,South,Apparel,9.18,0,66.8
2024-03-11,North,Grocery,103.34,1,91.2
2024-03-12,East,Grocery,23.77,1,117.1
2024-03-13,West,Electronics,63.33,0,86.6
2024-03-14,North,Home,53.8,1,70.7
2024-03-15,South,Home,6.16,0,63.1
2024-03-16,West,Apparel,110.27,0,59.8
2024-03-17,South,Apparel,57.32,0,74.1
2024-03-18,North,Electronics,114.74,0,86.6
2024-03-19,South,Grocery,37.98,0,92.7
2024-03-20,East,Grocery,104.62,0,79.2
2024-03-21,East,Electronics,111.07,0,74.2
2024-03-22,South,Electronics,69.04,0,59.5
2024-03-23,West,Grocery,28.31,0,64.4
2024-03-24,East,Electronics,83.8,0,67.4
2024-03-25,South,Grocery,68.13,0,97.1
2024-03-26,West,Apparel,113.62,0,89.9
2024-03-27,West,Home,55.52,0,83.3
2024-03-28,South,Apparel,35.88,0,56.4
2024-03-29,North,Electronics,20.9,0,53.1
2024-03-30,East,Electronics,85.34,0,68.4
2024-03-31,East,Electronics,117.02,1,88.5
2024-04-01,North,Grocery,8.26,0,73.0
2024-04-02,East,Apparel,90.15,1,118.2
2024-04-03,West,Apparel,111.6,0,76.1
2024-04-04,North,Grocery,13.6,0,74.9
2024-04-05,East,Electronics,17.67,0,57.8
2024-04-06,North,Electronics,84.58,0,62.6
2024-04-07,East,Grocery,79.52,1,99.7
2024-04-08,South,Apparel,12.92,1,96.7
2024-04-09,North,Apparel,100.96,1,96.4
2024-04-10,West,Apparel,65.19,0,78.6
2024-04-11,North,Apparel,109.33,0,71.8
2024-04-12,East,Home,105.97,0,50.7
2024-04-13,North,Home,98.44,0,51.7
2024-04-14,West,Apparel,64.33,0,78.4
2024-04-15,East,Home,33.95,0,81.6
2024-04-16,West,Electronics,63.19,0,85.8
2024-04-17,South,Home,16.59,1,94.5
2024-04-18,South,Home,80.77,0,63.1
2024-04-19,East,Apparel,20.41,0,59.0
2024-04-20,West,Home,63.78,0,67.6
2024-04-21,West,Apparel,11.25,0,69.2
2024-04-22,North,Apparel,39.44,0,95.5
2024-04-23,East,Electronics,31.69,0,84.4
2024-04-24,North,Home,76.3,0,76.4
2024-04-25,South,Apparel,95.48,0,76.7
2024-04-26,West,Home,11.59,1,79.8
2024-04-27,South,Electronics,102.78,0,59.1
2024-04-28,West,Home,103.99,0,73.2
2024-04-29,South,Grocery,44.36,0,94.0
2024-04-30,North,Grocery,80.79,0,97.7
2024-05-01,South,Apparel,51.3,0,75.9
2024-05-02,East,Apparel,22.73,0,67.6
2024-05-03,West,Home,65.8,0,60.3
2024-05-04,East,Electronics,14.93,0,56.8
2024-05-05,West,Apparel,106.02,0,74.2
2024-05-06,West,Apparel,111.29,0,86.3
2024-05-07,West,Home,99.49,1,121.3
2024-05-08,East,Apparel,69.69,0,88.4
2024-05-09,South,Electronics,69.12,0,66.2
2024-05-10,South,Home,118.23,1,88.3
2024-05-11,North,Grocery,33.51,0,67.1
2024-05-12,South,Home,13.73,0,71.3
2024-05-13,West,Grocery,69.62,1,117.2
2024-05-14,South,Electronics,42.81,0,89.0
2024-05-15,North,Home,42.07,0,75.7
2024-05-16,East,Apparel,5.81,0,62.8
2024-05-17,West,Home,73.57,0,69.2
2024-05-18,West,Apparel,35.36,0,62.5
2024-05-19,South,Apparel,26.6,0,85.0
2024-05-20,South,Electronics,9.65,0,83.9
2024-05-21,East,Grocery,46.9,0,91.7
2024-05-22,North,Grocery,106.08,0,96.2
2024-05-23,South,Electronics,43.72,0,62.5
2024-05-24,North,Grocery,83.09,0,49.4
2024-05-25,West,Apparel,92.0,1,87.7
2024-05-26,East,Home,42.73,0,70.6
2024-05-27,West,Home,99.49,0,87.2
2024-05-28,West,Electronics,84.57,0,86.8
2024-05-29,West,Home,69.31,0,83.8
2024-05-30,North,Home,5.11,0,63.5
2024-05-31,West,Home,9.04,0,60.1
2024-06-01,North,Electronics,118.95,0,66.8
2024-06-02,South,Electronics,94.96,1,94.5
2024-06-03,East,Home,112.82,1,97.8
2024-06-04,South,Grocery,108.76,0,88.5
2024-06-05,North,Electronics,7.35,0,74.0
2024-06-06,North,Grocery,96.06,0,67.1
2024-06-07,West,Home,56.88,0,62.2
2024-06-08,South,Apparel,95.8,0,62.1
2024-06-09,South,Grocery,5.77,1,103.2
2024-06-10,West,Grocery,38.14,0,87.9
2024-06-11,North,Apparel,91.4,1,110.9
2024-06-12,West,Apparel,96.2,0,87.1
2024-06-13,West,Home,76.27,1,91.6
2024-06-14,East,Electronics,39.64,0,59.1
2024-06-15,North,Home,40.69,0,67.7
2024-06-16,North,Electronics,116.18,0,75.2
2024-06-17,South,Home,55.51,1,102.0
2024-06-18,East,Grocery,56.42,0,100.7
2024-06-19,North,Grocery,68.52,1,111.4
2024-06-20,South,Grocery,52.09,0,59.7
2024-06-21,North,Electronics,68.56,1,81.7
2024-06-22,East,Home,54.72,0,72.6
2024-06-23,North,Grocery,100.07,0,75.6
2024-06-24,East,Electronics,109.54,1,121.6
2024-06-25,North,Grocery,112.19,0,87.5
2024-06-26,North,Home,69.89,0,74.7
2024-06-27,North,Apparel,55.85,0,71.5
2024-06-28,West,Home,86.1,0,52.0
2024-06-29,North,Apparel,101.41,0,64.1
2024-06-30,South,Apparel,69.74,0,85.0
2024-07-01,East,Home,85.5,0,77.6
2024-07-02,East,Grocery,91.22,1,97.4
2024-07-03,East,Home,82.79,0,77.8
2024-07-04,West,Apparel,90.81,0,70.6
2024-07-05,South,Apparel,28.99,0,60.7
2024-07-06,West,Electronics,62.31,0,74.3
2024-07-07,South,Home,72.65,0,83.4
2024-07-08,West,Electronics,5.28,1,110.7
2024-07-09,East,Grocery,103.44,1,113.7
2024-07-10,East,Home,75.15,0,86.7
2024-07-11,West,Grocery,19.85,0,66.2
2024-07-12,West,Grocery,98.88,0,68.4
2024-07-13,West,Apparel,87.46,0,59.6
2024-07-14,East,Grocery,92.2,0,83.0
2024-07-15,North,Home,50.08,0,96.9
2024-07-16,South,Electronics,103.23,0,94.0
2024-07-17,North,Grocery,52.61,0,83.6
2024-07-18,West,Home,70.61,0,74.1
2024-07-19,North,Apparel,5.07,0,46.5
2024-07-20,North,Electronics,79.16,0,68.4
2024-07-21,North,Apparel,87.59,0,77.7
2024-07-22,East,Apparel,70.22,0,89.8
2024-07-23,East,Grocery,62.1,0,97.3
2024-07-24,West,Home,98.14,0,84.6
2024-07-25,South,Electronics,83.36,0,65.2
2024-07-26,South,Apparel,36.98,0,63.1
2024-07-27,North,Home,115.29,0,67.3
2024-07-28,North,Apparel,86.34,1,91.4
2024-07-29,South,Apparel,118.61,1,117.1
2024-07-30,West,Electronics,116.7,0,99.7
2024-07-31,East,Grocery,110.67,0,78.8
2024-08-01,West,Electronics,91.87,0,73.4
2024-08-02,North,Home,75.08,1,97.3
2024-08-03,North,Apparel,24.8,0,56.9
2024-08-04,West,Electronics,67.49,1,105.9
2024-08-05,North,Home,93.02,0,87.3
2024-08-06,North,Home,64.9,0,91.5
2024-08-07,South,Home,104.85,0,80.3
2024-08-08,West,Electronics,17.61,0,71.7
2024-08-09,East,Apparel,48.81,0,75.7
2024-08-10,North,Apparel,63.19,0,60.0
2024-08-11,West,Electronics,54.72,0,72.4
2024-08-12,West,Electronics,17.49,1,100.1
2024-08-13,West,Grocery,22.66,0,104.5
2024-08-14,West,Electronics,101.33,0,83.3
2024-08-15,North,Apparel,60.7,0,72.9
2024-08-16,West,Home,10.6,0,62.6
